round,player_id,team_label,money,current_equipment_cost,match_number
4,65280,CT,8550,200,2
4,65281,CT,9300,200,2
4,65282,CT,9850,4800,2
4,65284,CT,7150,4600,2
4,65285,T,4900,200,2
4,65286,T,4400,200,2
4,65287,T,4100,200,2
4,65288,T,4000,200,2
4,65289,T,3700,200,2
5,65280,CT,5250,6250,2
5,65281,CT,10750,200,2
5,65282,CT,10200,5100,2
5,65284,CT,9350,200,2
5,65285,T,6200,200,2
5,65286,T,3600,200,2
5,65287,T,3750,200,2
5,65288,T,3800,200,2
5,65289,T,3400,200,2
6,65280,CT,4900,6550,2
6,65281,CT,11600,4500,2
6,65282,CT,8250,4800,2
6,65284,CT,9800,5000,2
6,65285,T,5900,200,2
6,65286,T,4250,200,2
6,65287,T,3600,200,2
6,65288,T,3500,200,2
6,65289,T,3400,200,2
7,65280,CT,4800,200,2
7,65281,CT,11250,200,2
7,65282,CT,9650,200,2
7,65284,CT,11000,200,2
7,65285,T,6100,3900,2
7,65286,T,4600,200,2
7,65287,T,5150,4250,2
7,65288,T,4300,200,2
7,65289,T,3500,200,2
8,65280,CT,4800,200,2
8,65281,CT,10750,200,2
8,65282,CT,7950,200,2
8,65284,CT,6150,200,2
8,65285,T,9450,3900,2
8,65286,T,4950,200,2
8,65287,T,7200,200,2
8,65288,T,3750,4100,2
8,65289,T,3350,200,2
9,65280,CT,2500,200,2
9,65281,CT,5800,7350,2
9,65282,CT,8650,200,2
9,65284,CT,2850,4500,2
9,65285,T,11700,3900,2
9,65286,T,4350,4400,2
9,65287,T,5000,3550,2
9,65288,T,6350,4300,2
9,65289,T,3600,200,2
10,65280,CT,4150,4400,2
10,65281,CT,9050,6550,2
10,65282,CT,7100,200,2
10,65284,CT,4850,200,2
10,65285,T,13000,200,2
10,65286,T,5100,200,2
10,65287,T,5350,200,2
10,65288,T,7350,200,2
10,65289,T,2550,200,2
11,65280,CT,6100,4600,2
11,65281,CT,11300,200,2
11,65282,CT,10250,200,2
11,65284,CT,3700,4700,2
11,65285,T,12800,200,2
11,65286,T,5550,200,2
11,65287,T,3200,200,2
11,65288,T,2900,200,2
11,65289,T,2700,200,2
12,65280,CT,6150,4800,2
12,65281,CT,9650,4100,2
12,65282,CT,9800,4500,2
12,65284,CT,5100,4500,2
12,65285,T,12100,200,2
12,65286,T,4050,200,2
12,65287,T,3250,200,2
12,65288,T,2900,200,2
12,65289,T,3050,200,2
13,65280,T,800,200,2
13,65281,T,800,200,2
13,65282,T,800,200,2
13,65284,T,800,200,2
13,65285,CT,800,200,2
13,65286,CT,800,200,2
13,65287,CT,800,200,2
13,65288,CT,800,200,2
13,65289,CT,800,200,2
14,65280,T,4050,200,2
14,65281,T,3550,500,2
14,65282,T,4150,500,2
14,65284,T,3700,850,2
14,65285,CT,2350,200,2
14,65286,CT,2050,200,2
14,65287,CT,2050,200,2
14,65288,CT,2050,200,2
14,65289,CT,1900,200,2
15,65280,T,4750,200,2
15,65281,T,6450,200,2
15,65282,T,6400,3200,2
15,65284,T,4000,3900,2
15,65285,CT,3450,200,2
15,65286,CT,3150,200,2
15,65287,CT,2550,200,2
15,65288,CT,2400,200,2
15,65289,CT,2700,200,2
16,65280,T,4800,4500,2
16,65281,T,6300,3900,2
16,65282,T,8100,3850,2
16,65285,CT,3700,200,2
16,65286,CT,3200,200,2
16,65287,CT,2900,200,2
16,65288,CT,2950,200,2
16,65289,CT,3200,200,2
17,65280,T,7100,200,2
17,65281,T,8600,200,2
17,65282,T,9650,200,2
17,65284,T,3750,200,2
17,65285,CT,6350,200,2
17,65286,CT,4750,4400,2
17,65287,CT,3800,200,2
17,65288,CT,3550,200,2
17,65289,CT,3800,200,2
18,65280,T,6800,200,2
18,65281,T,5700,200,2
18,65282,T,7350,200,2
18,65284,T,2550,200,2
18,65285,CT,6700,200,2
18,65286,CT,7700,4800,2
18,65287,CT,3250,200,2
18,65289,CT,4250,2900,2
2,65280,CT,2400,200,3
2,65281,CT,2050,200,3
2,65282,CT,2650,200,3
2,65283,CT,2700,200,3
2,65284,CT,1900,200,3
2,65285,T,4000,850,3
2,65286,T,3400,200,3
2,65287,T,3250,1000,3
2,65288,T,4050,200,3
2,65289,T,4650,200,3
3,65280,CT,5200,200,3
3,65281,CT,4850,200,3
3,65282,CT,4700,3850,3
3,65283,CT,6000,200,3
3,65284,CT,3900,200,3
3,65285,T,3750,200,3
3,65286,T,3200,200,3
3,65287,T,2750,200,3
3,65288,T,3450,200,3
3,65289,T,3450,200,3
4,65280,CT,4700,200,3
4,65281,CT,6150,3900,3
4,65282,CT,8550,3850,3
4,65283,CT,4250,200,3
4,65284,CT,5300,200,3
4,65285,T,2250,200,3
4,65286,T,2200,200,3
4,65287,T,2050,200,3
4,65288,T,2000,200,3
4,65289,T,2350,200,3
5,65280,CT,1800,200,3
5,65281,CT,6900,200,3
5,65282,CT,9850,200,3
5,65283,CT,3250,200,3
5,65284,CT,1750,200,3
5,65285,T,4050,200,3
5,65286,T,4000,200,3
5,65287,T,3300,200,3
5,65288,T,5850,4100,3
5,65289,T,4800,200,3
6,65280,CT,4000,5750,3
6,65281,CT,4900,200,3
6,65282,CT,5800,200,3
6,65283,CT,3550,200,3
6,65284,CT,2050,200,3
6,65285,T,3550,200,3
6,65286,T,3900,200,3
6,65287,T,3800,200,3
6,65288,T,7850,200,3
6,65289,T,5600,200,3
7,65280,CT,5500,200,3
7,65281,CT,6150,200,3
7,65282,CT,5000,200,3
7,65283,CT,5550,200,3
7,65284,CT,5750,3900,3
7,65285,T,2400,200,3
7,65286,T,3550,200,3
7,65287,T,2800,200,3
7,65288,T,3900,200,3
7,65289,T,4200,200,3
8,65280,CT,3950,200,3
8,65281,CT,8700,200,3
8,65282,CT,3500,4950,3
8,65283,CT,6450,200,3
8,65284,CT,8150,4150,3
8,65285,T,2250,200,3
8,65286,T,2350,200,3
8,65287,T,2000,200,3
8,65288,T,2500,200,3
8,65289,T,2200,200,3
9,65280,CT,6350,4300,3
9,65281,CT,8300,200,3
9,65282,CT,6000,6350,3
9,65283,CT,7650,200,3
9,65284,CT,8750,200,3
9,65285,T,3400,200,3
9,65286,T,4500,200,3
9,65287,T,3300,200,3
9,65288,T,6300,200,3
