round,player_id,first_equip_tick,match_number
10,65284,59274,29
10,65286,55947,29
11,65282,60029,29
11,65286,59530,29
12,65281,66096,29
12,65282,65770,29
12,65287,65230,29
17,65286,92977,29
18,65286,96412,29
19,65286,101362,29
20,65280,106289,29
20,65284,109162,29
20,65285,106263,29
20,65286,106209,29
21,65280,113679,29
21,65286,113444,29
5,65287,24069,30
6,65289,30435,30
7,65285,36653,30
7,65286,36854,30
7,65289,36775,30
8,65288,44031,30
9,65288,50376,30
10,65286,55279,30
10,65287,55291,30
10,65288,55258,30
11,65280,63832,30
11,65285,65588,30
11,65286,60540,30
11,65287,61535,30
11,65288,60161,30
11,65289,60273,30
12,65280,67674,30
12,65285,67527,30
12,65286,66882,30
12,65287,68139,30
12,65288,66875,30
16,65285,85581,30
16,65287,86253,30
16,65289,85805,30
4,65289,20861,31
5,65289,27187,31
6,65282,41500,31
6,65289,34169,31
7,65282,42878,31
8,65282,52392,31
9,65282,57283,31
9,65284,58220,31
10,65284,62851,31
11,65280,69169,31
11,65282,69847,31
11,65284,68718,31
11,65289,69220,31
12,65280,76876,31
12,65282,80873,31
12,65284,76903,31
16,65284,100084,31
7,65286,38233,32
8,65282,43352,32
8,65286,44227,32
9,65282,48209,32
9,65286,47995,32
10,65280,51713,32
10,65281,51867,32
10,65282,51666,32
10,65286,52681,32
11,65281,56767,32
11,65282,56968,32
11,65286,56811,32
12,65286,68802,32
17,65282,99782,32
18,65281,106403,32
18,65282,104593,32
19,65282,110509,32
19,65287,117574,32
20,65280,118416,32
20,65287,117893,32
21,65280,122808,32
3,65288,12767,33
5,65282,33165,33
5,65283,25973,33
5,65284,25809,33
5,65288,25111,33
6,65282,33313,33
6,65283,34634,33
7,65281,47410,33
7,65282,39999,33
7,65283,40772,33
7,65287,39983,33
8,65281,49069,33
8,65282,47468,33
8,65283,48798,33
8,65284,53067,33
8,65287,53635,33
8,65288,47832,33
8,65289,47818,33
9,65280,59525,33
9,65282,55568,33
9,65283,55019,33
9,65287,54837,33
9,65288,55691,33
10,65280,59874,33
10,65282,60029,33
10,65283,61509,33
10,65284,64585,33
11,65282,67815,33
11,65283,67841,33
11,65288,67676,33
12,65280,73900,33
12,65283,73588,33
12,65287,74833,33
12,65288,75858,33
12,65289,73823,33
16,65282,99956,33
16,65283,99827,33
16,65287,99963,33
16,65289,106036,33
17,65284,106405,33
17,65287,106327,33
17,65289,107184,33
18,65287,112519,33
18,65289,112854,33
4,65283,15712,34
5,65283,22863,34
10,65280,49867,34
10,65285,47187,34
11,65280,50861,34
19,65285,100347,34
19,65287,99805,34
20,65285,104344,34
20,65288,109325,34
21,65283,114046,34
21,65288,113399,34
22,65283,119861,34
4,65283,16719,35
4,65288,17591,35
5,65280,28398,35
5,65281,23094,35
5,65283,26651,35
5,65288,22719,35
6,65281,29060,35
6,65282,28624,35
6,65283,28573,35
7,65281,34502,35
7,65282,35841,35
7,65283,34562,35
7,65286,36584,35
8,65281,40929,35
