round,tick,event_type,player_id,match_number,site
13,77231,bomb_planted,65281,37,A
14,82806,bomb_planted,65280,37,A
15,86902,bomb_planted,65280,37,A
2,9933,bomb_planted,65288,38,A
3,15025,bomb_planted,65288,38,B
7,52117,bomb_planted,65288,38,A
8,58219,bomb_planted,65285,38,B
8,60045,bomb_defused,65283,38,B
10,69132,bomb_planted,65285,38,A
10,71756,bomb_exploded,65285,38,A
11,77886,bomb_planted,65285,38,B
11,79287,bomb_defused,65282,38,B
13,86640,bomb_planted,65282,38,A
13,89264,bomb_exploded,65282,38,A
15,96840,bomb_planted,65281,38,A
16,101055,bomb_planted,65283,38,A
17,104964,bomb_planted,65280,38,A
5,21827,bomb_planted,65286,40,B
5,23918,bomb_defused,65280,40,B
9,46266,bomb_planted,65289,40,B
13,65715,bomb_planted,65283,40,B
17,94310,bomb_planted,65282,40,B
17,96934,bomb_exploded,65282,40,B
19,106913,bomb_planted,65281,40,A
19,108209,bomb_defused,65287,40,A
20,112759,bomb_planted,65281,40,B
20,115383,bomb_exploded,65281,40,B
5,21747,bomb_planted,65288,41,B
5,24371,bomb_exploded,65288,41,B
6,32220,bomb_planted,65288,41,B
6,33639,bomb_defused,65280,41,B
9,50728,bomb_planted,65287,41,B
9,51992,bomb_defused,65283,41,B
11,61673,bomb_planted,65286,41,A
12,66981,bomb_planted,65287,41,A
12,68174,bomb_defused,65280,41,A
16,92236,bomb_planted,65284,41,B
16,94525,bomb_defused,65287,41,B
18,105569,bomb_planted,65283,41,A
6,31272,bomb_planted,65288,42,A
8,43458,bomb_planted,65289,42,A
8,46082,bomb_exploded,65289,42,A
10,56256,bomb_planted,65289,42,B
13,69160,bomb_planted,65280,42,B
14,73940,bomb_planted,65283,42,A
15,78765,bomb_planted,65281,42,A
16,83586,bomb_planted,65284,42,A
2,8340,bomb_planted,65288,43,A
3,16008,bomb_planted,65288,43,A
16,85080,bomb_planted,65282,43,A
18,96013,bomb_planted,65281,43,B
20,110324,bomb_planted,65282,43,A
21,116316,bomb_planted,65282,43,A
2,12036,bomb_planted,65289,44,B
4,20502,bomb_planted,65286,44,B
4,22065,bomb_defused,65283,44,B
6,35579,bomb_planted,65288,44,A
6,38203,bomb_exploded,65288,44,A
10,63988,bomb_planted,65285,44,A
11,70689,bomb_planted,65289,44,B
14,87117,bomb_planted,65280,44,A
15,90942,bomb_planted,65284,44,B
15,93566,bomb_exploded,65284,44,A
17,103492,bomb_planted,65280,44,A
18,109244,bomb_planted,65282,44,A
19,114668,bomb_planted,65280,44,A
20,120112,bomb_planted,65283,44,B
21,126346,bomb_planted,65281,44,A
21,128970,bomb_exploded,65281,44,A
3,11772,bomb_planted,65287,45,B
4,16863,bomb_planted,65288,45,A
5,20592,bomb_planted,65286,45,B
9,38398,bomb_planted,65286,45,A
10,45190,bomb_planted,65287,45,A
10,47700,bomb_defused,65281,45,A
13,65281,bomb_planted,65283,45,A
13,67695,bomb_defused,65286,45,A
15,76242,bomb_planted,65281,45,B
15,78866,bomb_exploded,65281,45,B
20,103106,bomb_planted,65284,45,B
20,104165,bomb_defused,65285,45,B
23,120153,bomb_planted,65283,45,B
23,122777,bomb_exploded,65283,45,B
24,129178,bomb_planted,65281,45,B
2,9831,bomb_planted,65288,46,A
3,14747,bomb_planted,65288,46,A
4,19037,bomb_planted,65285,46,A
5,23198,bomb_planted,65286,46,A
6,26956,bomb_planted,65286,46,B
6,29580,bomb_exploded,65286,46,B
7,38051,bomb_planted,65285,46,A
9,52103,bomb_planted,65286,46,A
10,54899,bomb_planted,65287,46,B
10,57523,bomb_exploded,65287,46,A
11,61718,bomb_planted,65289,46,A
12,65615,bomb_planted,65287,46,A
12,68239,bomb_exploded,65287,46,A
13,72512,bomb_planted,65283,46,A
14,75852,bomb_planted,65281,46,B
15,80384,bomb_planted,65284,46,A
16,84978,bomb_planted,65280,46,B
16,87120,bomb_defused,65288,46,B
17,91807,bomb_planted,65283,46,B
18,98016,bomb_planted,65280,46,A
18,100640,bomb_exploded,65280,46,A
20,110052,bomb_planted,65284,46,B
20,112585,bomb_defused,65285,46,B
21,116473,bomb_planted,65280,46,B
21,119097,bomb_exploded,65280,46,B
2,9132,bomb_planted,65289,47,A
2,10707,bomb_defused,65284,47,A
3,14788,bomb_planted,65286,47,A
3,17412,bomb_exploded,65286,47,A
4,20631,bomb_planted,65286,47,B
12,61330,bomb_planted,65288,47,A
13,65950,bomb_planted,65281,47,A
14,68703,bomb_planted,65283,47,B
15,72935,bomb_planted,65283,47,A
16,77105,bomb_planted,65284,47,A
16,79729,bomb_exploded,65284,47,A
3,14596,bomb_planted,65285,48,B
3,16169,bomb_defused,65281,48,B
6,33338,bomb_planted,65286,48,B
6,35962,bomb_exploded,65286,48,A
9,49281,bomb_planted,65289,48,A
9,51905,bomb_exploded,65289,48,B
10,56000,bomb_planted,65289,48,A
2,10497,bomb_planted,65286,49,A
3,15102,bomb_planted,65288,49,A
5,31615,bomb_planted,65287,49,A
5,34239,bomb_exploded,65287,49,A
6,39690,bomb_planted,65285,49,A
12,77378,bomb_planted,65288,49,B
12,78901,bomb_defused,65284,49,B
14,89592,bomb_planted,65280,49,A
14,90719,bomb_defused,65289,49,A
15,94982,bomb_planted,65280,49,A
16,100688,bomb_planted,65284,49,A
17,105634,bomb_planted,65281,49,A
17,108258,bomb_exploded,65281,49,B
18,113016,bomb_planted,65281,49,A
20,125378,bomb_planted,65280,49,B
20,127661,bomb_defused,65289,49,B
22,135292,bomb_planted,65284,49,A
23,140361,bomb_planted,65281,49,A
23,142985,bomb_exploded,65281,49,B
24,147396,bomb_planted,65284,49,A
2,9442,bomb_planted,65289,51,A
2,11577,bomb_defused,65281,51,A
3,16786,bomb_planted,65286,51,A
4,22700,bomb_planted,65289,51,A
4,24879,bomb_defused,65282,51,A
5,30865,bomb_planted,65289,51,A
5,32271,bomb_defused,65284,51,A
6,37538,bomb_planted,65286,51,A
7,43153,bomb_planted,65287,51,A
7,45777,bomb_exploded,65287,51,A
8,49963,bomb_planted,65286,51,A
9,56337,bomb_planted,65289,51,B
9,58314,bomb_defused,65280,51,B
13,79790,bomb_planted,65282,51,B
15,92104,bomb_planted,65280,51,B
15,93617,bomb_defused,65288,51,B
16,101941,bomb_planted,65283,51,B
18,116432,bomb_planted,65280,51,A
18,119056,bomb_exploded,65280,51,A
19,125230,bomb_planted,65283,51,B
19,127854,bomb_exploded,65283,51,B
21,135840,bomb_planted,65283,51,B
21,137318,bomb_defused,65289,51,B
2,8291,bomb_planted,65285,52,A
3,12104,bomb_planted,65285,52,A
13,56799,bomb_planted,65282,52,B
15,66785,bomb_planted,65283,52,B
16,72235,bomb_planted,65283,52,B
20,91528,bomb_planted,65283,52,A
20,94152,bomb_exploded,65283,52,A
3,11908,bomb_planted,65286,53,A
3,13844,bomb_defused,65283,53,A
7,38039,bomb_planted,65288,53,A
7,40663,bomb_exploded,65288,53,A
8,46218,bomb_planted,65287,53,B
8,47260,bomb_defused,65281,53,B
11,63503,bomb_planted,65288,53,A
13,75010,bomb_planted,65283,53,B
14,81008,bomb_planted,65281,53,A
19,106241,bomb_planted,65281,53,B
20,113015,bomb_planted,65284,53,A
20,114219,bomb_defused,65286,53,A
22,125313,bomb_planted,65282,53,B
23,130616,bomb_planted,65280,53,B
23,133240,bomb_exploded,65280,53,B
5,25961,bomb_planted,65287,54,A
9,49134,bomb_planted,65285,54,B
12,74226,bomb_planted,65288,54,B
13,80943,bomb_planted,65284,54,A
14,85754,bomb_planted,65284,54,B
18,105115,bomb_planted,65283,54,B
18,106599,bomb_defused,65289,54,B
19,113411,bomb_planted,65284,54,B
2,7388,bomb_planted,65288,55,B
3,10895,bomb_planted,65285,55,B
3,13519,bomb_exploded,65285,55,A
4,17207,bomb_planted,65286,55,A
5,22765,bomb_planted,65289,55,A
5,25389,bomb_exploded,65289,55,A
6,30347,bomb_planted,65285,55,B
6,32971,bomb_exploded,65285,55,B
9,43926,bomb_planted,65286,55,A
10,50005,bomb_planted,65289,55,A
12,59457,bomb_planted,65288,55,A
3,11684,bomb_planted,65289,56,B
4,17968,bomb_planted,65289,56,A
5,22314,bomb_planted,65287,56,A
5,24938,bomb_exploded,65287,56,A
6,28886,bomb_planted,65289,56,A
7,33120,bomb_planted,65287,56,B
8,39274,bomb_planted,65288,56,A
10,55188,bomb_planted,65289,56,A
11,60261,bomb_planted,65287,56,B
2,12021,bomb_planted,65289,57,B
3,17716,bomb_planted,65287,57,A
5,29718,bomb_planted,65287,57,A
5,32342,bomb_exploded,65287,57,A
6,36738,bomb_planted,65288,57,A
6,39362,bomb_exploded,65288,57,B
7,43683,bomb_planted,65288,57,A
9,54198,bomb_planted,65287,57,A
10,62362,bomb_planted,65285,57,A
11,68878,bomb_planted,65287,57,A
12,74022,bomb_planted,65289,57,A
2,8170,bomb_planted,65286,58,B
3,14136,bomb_planted,65286,58,A
3,15787,bomb_defused,65281,58,A
4,19089,bomb_planted,65285,58,B
5,23797,bomb_planted,65287,58,A
