round,player_id,team_label,money,current_equipment_cost,match_number
9,65288,T,5400,200,2
9,65289,T,2100,200,2
10,65280,CT,4350,4500,2
10,65281,CT,5000,200,2
10,65282,CT,4150,6200,2
10,65283,CT,3650,200,2
10,65284,CT,7750,4800,2
10,65285,T,3550,200,2
10,65286,T,3200,200,2
10,65287,T,2750,200,2
10,65288,T,3400,200,2
10,65289,T,3100,200,2
11,65280,CT,6200,4500,2
11,65281,CT,3550,200,2
11,65282,CT,6200,6700,2
11,65283,CT,4250,200,2
11,65284,CT,9900,5300,2
11,65285,T,3300,200,2
11,65286,T,3000,200,2
11,65287,T,2950,200,2
11,65288,T,3500,200,2
11,65289,T,3600,200,2
12,65280,CT,6500,200,2
12,65281,CT,1450,200,2
12,65282,CT,5800,200,2
12,65283,CT,2550,200,2
12,65284,CT,9750,200,2
12,65285,T,7150,4950,2
12,65286,T,4500,200,2
12,65287,T,3500,200,2
12,65288,T,3700,200,2
12,65289,T,4100,3850,2
13,65280,T,800,200,2
13,65281,T,800,200,2
13,65282,T,800,200,2
13,65283,T,800,200,2
13,65284,T,800,200,2
13,65285,CT,800,200,2
13,65286,CT,800,200,2
13,65287,CT,800,200,2
13,65288,CT,800,200,2
13,65289,CT,800,200,2
14,65280,T,2800,200,2
14,65281,T,2850,200,2
14,65282,T,3500,200,2
14,65283,T,3150,200,2
14,65284,T,2850,200,2
14,65285,CT,4200,200,2
14,65286,CT,3950,850,2
14,65287,CT,3950,850,2
14,65288,CT,3600,200,2
14,65289,CT,4250,850,2
15,65280,T,3900,200,2
15,65281,T,3550,3600,2
15,65282,T,4300,200,2
15,65283,T,4900,4100,2
15,65284,T,3950,4600,2
15,65285,CT,2950,200,2
15,65286,CT,1450,200,2
15,65287,CT,1900,200,2
15,65288,CT,1650,200,2
15,65289,CT,2300,200,2
16,65280,T,5250,200,2
16,65281,T,6000,4600,2
16,65282,T,4900,2250,2
16,65283,T,6400,4300,2
16,65284,T,4800,200,2
16,65285,CT,2400,200,2
16,65286,CT,2000,200,2
16,65287,CT,2500,200,2
16,65288,CT,1950,200,2
16,65289,CT,2150,200,2
17,65280,T,3600,200,2
17,65281,T,9150,200,2
17,65282,T,7250,200,2
17,65283,T,8100,4300,2
17,65284,T,3950,3900,2
17,65285,CT,3100,200,2
17,65286,CT,3050,200,2
